epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,12491.6,1.38711,0.75295,1.01041,0.82265,0.74109,0.81731,0.50971,1.31781,0.66594,1.00813,0.000220089,0.000220089,0.000220089
83,12595.3,1.37974,0.74484,1.0097,0.81427,0.74972,0.81684,0.51518,1.29946,0.65713,1.00089,0.00020909,0.00020909,0.00020909
84,12687.6,1.37689,0.7451,1.00893,0.82989,0.73926,0.81642,0.5139,1.30464,0.66437,1.0048,0.000198091,0.000198091,0.000198091
85,12872.2,1.37538,0.74012,1.0104,0.81291,0.75225,0.82117,0.51699,1.2992,0.65538,1.00307,0.000187092,0.000187092,0.000187092
86,13086.8,1.37929,0.74004,1.00764,0.80952,0.75025,0.81811,0.51554,1.29878,0.65788,1.00171,0.000176094,0.000176094,0.000176094
87,13261.4,1.37163,0.74302,1.00458,0.81456,0.75214,0.8186,0.51499,1.29568,0.65341,1.00002,0.000165095,0.000165095,0.000165095
88,13490.6,1.36904,0.73512,1.00283,0.80984,0.75366,0.81968,0.51563,1.29758,0.65387,0.9991,0.000154096,0.000154096,0.000154096
89,13641.8,1.3685,0.73456,1.00626,0.81947,0.75101,0.82212,0.5159,1.29819,0.65258,1.0005,0.000143097,0.000143097,0.000143097
90,13794.3,1.36483,0.73166,1.00266,0.81407,0.75577,0.82207,0.51871,1.29182,0.65372,0.9984,0.000132098,0.000132098,0.000132098
91,13940.1,1.34233,0.70345,1.01722,0.81373,0.74729,0.81374,0.50979,1.30543,0.66246,1.00267,0.000121099,0.000121099,0.000121099
92,14088.2,1.32949,0.69049,1.00817,0.81799,0.75761,0.82277,0.51769,1.29385,0.64774,0.99956,0.0001101,0.0001101,0.0001101
93,14254,1.31725,0.67728,1.00722,0.82691,0.74841,0.82306,0.51796,1.29527,0.64764,0.99835,9.91012e-05,9.91012e-05,9.91012e-05
94,14347.6,1.32239,0.67637,1.00651,0.81964,0.75734,0.82329,0.51842,1.29142,0.64885,0.99836,8.81023e-05,8.81023e-05,8.81023e-05
95,14556,1.3175,0.6724,1.00593,0.8279,0.75826,0.82838,0.52424,1.28525,0.64115,0.99498,7.71034e-05,7.71034e-05,7.71034e-05
96,14635.9,1.31172,0.67156,1.00338,0.82536,0.76224,0.8309,0.52638,1.28087,0.63717,0.99362,6.61045e-05,6.61045e-05,6.61045e-05
97,14713.9,1.30986,0.66672,1.00561,0.82284,0.76084,0.82977,0.52465,1.27975,0.63708,0.9935,5.51056e-05,5.51056e-05,5.51056e-05
98,14790.9,1.31078,0.66484,1.00382,0.83737,0.75639,0.83282,0.52665,1.27788,0.63594,0.99219,4.41067e-05,4.41067e-05,4.41067e-05
99,14879.7,1.30553,0.66423,1.00121,0.8364,0.75632,0.83052,0.52667,1.27662,0.63802,0.9921,3.31078e-05,3.31078e-05,3.31078e-05
100,15037.3,1.30439,0.66395,0.99744,0.8314,0.75947,0.83155,0.52694,1.27679,0.63686,0.99193,2.21089e-05,2.21089e-05,2.21089e-05
